id,brand,target_culture,country_group,platform,year,text,gt_risk,gt_topic,gt_intent,gt_context,source,is_ad_library
1,H&M,Sweden / Global,Sweden,Online ad / in-store,2018,"""Coolest Monkey in the Jungle"" — hoodie slogan modeled by a Black child",Taboo,Race/Ethnicity,Unintentional,"Unintentional styling oversight; echoed racist primate stereotype, apologized and pulled",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
2,Pepsi,USA / Global,USA,TV/Social ad,2017,"Ad shows Kendall Jenner leaving a photoshoot to join a protest and hand a police officer a Pepsi, defusing tension",Taboo,History/Politics,Intentional,Intentional co-opting of protest imagery trivialized real activism; pulled within 24h,https://pony.studio/design-for-growth/8-most-controversial-marketing-campaigns,False
3,Gucci,Italy / Global,Italy,Product / runway,2019,Black balaclava jumper with a cutout red-lipped mouth around the face opening,Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, design closely resembled blackface caricature",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
4,Dolce & Gabbana,China,China,Video ad (SNS),2018,"""DG Loves China"" video shows an Asian model struggling to eat pizza and spaghetti with chopsticks",Taboo,Race/Ethnicity,Intentional,"Intended as playful, perceived as mocking Chinese culture; canceled Shanghai show",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
5,BECCA Cosmetics,Australia,Australia,Social media ad,2018,"Foundation shade ad appears to show a white model’s hand painted/photoshopped black, palm left white",Taboo,Race/Ethnicity,Unintentional,"Unintentional, read as blackface-style imagery",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
6,Local ice cream parlor,India,India,Store branding / signage,2016,Ice cream cartons and store branded with the name and image of Adolf Hitler,Taboo,History/Politics,Intentional,"Intentional shock branding, ignored global sensitivity to Holocaust/Nazi imagery",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
7,Swatch,Global (Asia-facing),Global,Print/social ad,2020,"Campaign image shows an Asian male model making a hand gesture near his eyes read as mimicking ""slanted eyes""",Taboo,Race/Ethnicity,Unclear,"Unclear intent, perceived as echoing anti-Asian mockery gesture",https://phuconcepts.com/biggest-multicultural-marketing-fails/,False
8,PureGym,UK,UK,App notification / social,2018,"""Twelve Years of Slave"" workout challenge — ""slavery was hard, and so is this""",Taboo,Race/History,Intentional,"Intentional wordplay for shock value, trivialized historical slavery",https://www.stylist.co.uk/life/ridiculously-sexist-misogyny-anti-feminist-adverts-posters-billboards-present-modern-day/69598,False
10,Pepsi,China,China,Slogan,1960,"""Pepsi Brings You Back to Life"" mistranslated as ""Pepsi Brings Your Ancestors Back from the Grave""",Taboo,Language/Wordplay,Unintentional,Unintentional literal mistranslation touching ancestor-veneration beliefs,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
11,American Airlines,Mexico,Mexico,Slogan,1987,"""Fly in Leather"" translated to Spanish as ""Vuela en Cuero"" — understood as ""Fly Naked""",Taboo,Language/Wordplay,Unintentional,Unintentional literal mistranslation with sexual connotation,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
12,Ford,Brazil,Brazil,Product naming,1970,"Model name ""Pinto"" is Brazilian Portuguese slang for small male genitals",Taboo,Language/Wordplay,Unintentional,Unintentional — product name not checked against local slang,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
13,Mercedes-Benz,China,China,Brand transliteration,1980,"Early Chinese brand transliteration ""Bensi"" sounds like ""rush to die""",Taboo,Language/Wordplay,Unintentional,Unintentional phonetic transliteration error,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
14,Clairol,Germany,Germany,Product naming,1980,"""Mist Stick"" curling iron — ""mist"" is German slang for manure",Taboo,Language/Wordplay,Unintentional,Unintentional literal translation clash,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
15,Schweppes,Italy,Italy,Slogan,1990,"""Schweppes Tonic Water"" mistranslated as ""Schweppes Toilet Water""",Taboo,Language/Wordplay,Unintentional,Unintentional mistranslation,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
16,IKEA,Global (English-speaking),Global,Product naming,2000,"Desk product named ""FARTFULL""",Taboo,Language/Wordplay,Unintentional,Unintentional — Swedish naming clashed with English slang,https://altalang.com/beyond-words/10-marketing-translation-high-profile-fails/,False
17,Tesco,UK,UK,In-store promo,2018,Promoted bacon-flavored Pringles multipack during Ramadan,Taboo,Religion,Unintentional,Unintentional lack of awareness that pork/bacon is non-halal during a fasting/purity-focused month,https://muslimadnetwork.com/2021/07/27/advertising-to-muslims-myths/,False
18,Watsons Malaysia,Malaysia,Malaysia,Social media ad,2019,Ad featured a model in blackface-style makeup,Taboo,Race/Ethnicity,Unintentional,"Unintentional, read as racist caricature",https://muslimadnetwork.com/2021/07/27/advertising-to-muslims-myths/,False
19,Netflix,Global,Global,Show promo clip,2021,Promotional clip shows a Muslim character breaking her Ramadan fast by drinking alcohol,Taboo,Religion,Unintentional,Unintentional insensitivity to fasting-month religious practice,https://muslimadnetwork.com/2021/07/27/advertising-to-muslims-myths/,False
20,Co-op,UK,UK,Print/social ad,2017,"""Be a good egg. Treat your daughter for doing the washing up."" (Easter promotion)",Taboo,Gender,Unintentional,"Unintentional, reinforced outdated domestic-labor gender stereotype",https://www.stylist.co.uk/life/ridiculously-sexist-misogyny-anti-feminist-adverts-posters-billboards-present-modern-day/69598,False
22,Peloton,USA,USA,TV/holiday ad,2019,Holiday ad shows a husband gifting his wife a Peloton bike; she records a year of anxious workout vlogs for him,Taboo,Gender,Unintentional,"Unintentional, read as reinforcing appearance pressure / husband-approval dynamic",https://listverse.com/2024/10/28/10-controversial-advertising-campaigns-that-backfired/,False
23,GoDaddy,USA,USA,Super Bowl TV ad,2013,"Ad built around an exaggerated close-up kiss between a model and an ""average"" man, framed as ""beauty meets brains""",Taboo,Gender,Intentional,Intentional shock-humor read as exploitative and demeaning,https://listverse.com/2024/10/28/10-controversial-advertising-campaigns-that-backfired/,False
24,Saint Laurent,France,France,Print/OOH ad,2017,"Spring 2017 campaign images criticized by French ad watchdog as depicting ""sexual submission""",Taboo,Gender,Intentional,Intentional artistic framing; regulator ruled it trivialized sexist stereotypes,https://www.marketingsociety.com/the-library/controversial-advertising-ii-gender-equality-and-sexism,False
25,Bud Light,USA,USA,Social media / influencer post,2023,Brand partnership post featuring a transgender influencer as part of a can promotion,Taboo,Gender identity/Politics,Intentional,Intentional inclusion-focused partnership triggered a highly polarized backlash and boycott,https://www.marketingdive.com/news/purpose-brand-marketing-2023-bud-light-target-backlash/700384/,False
26,Bioré,USA,USA,Influencer video (SNS),2023,"Influencer video for pore-strip product tied to Mental Health Awareness Month, joking tone paired with anxiety messaging",Taboo,Intent/Context (Tone),Unintentional,Unintentional tonal mismatch between serious mental-health framing and product comedy,https://www.marketingdive.com/news/purpose-brand-marketing-2023-bud-light-target-backlash/700384/,False
27,Apple,Global,Global,TV/social ad,2024,"""Crush"" ad shows a hydraulic press flattening musical instruments, books, and art supplies down into an iPad Pro",Taboo,Intent/Context (Tone),Intentional,"Intentional metaphor for one device holding everything, read instead as dismissive of creative work",https://www.campaignlive.com/article/year-review-biggest-brand-fails-2024/1900879,False
28,Apple,Thailand,Thailand,Product ad,2024,Ad uses Thailand purely as an exotic backdrop for a Western business storyline,Taboo,Race/Ethnicity,Unintentional,"Unintentional, criticized for reducing a country/culture to a generic backdrop trope",https://respondology.com/blog/what-brands-got-wrong-on-social-media-in-2024-and-how-to-fix-it-in-2025/,False
29,Walmart,USA,USA,Product listing (apparel),2024,Clothing/underwear line printed with the image of the Hindu deity Ganesha,Taboo,Religion,Unintentional,"Unintentional, seen by Hindu community as placing a deity on garments — deemed disrespectful",https://respondology.com/blog/what-brands-got-wrong-on-social-media-in-2024-and-how-to-fix-it-in-2025/,False
31,Zara,Europe,Global,Retail product (handbag),2007,Handbag design included a repeating pattern of small swastika-like shapes,Taboo,Religion/History,Unintentional,"Unintentional per brand (supplier design), evoked Nazi/antisemitic symbolism",https://fortune.com/2014/08/27/zara-anti-semitism/,False
32,Jaguar,UK / Global,UK,Social media rebrand video,2024,"Abstract, car-free rebrand video and slogan launched on X/Instagram announcing a new brand direction",Taboo,Intent/Context (Tone),Intentional,"Intentional bold repositioning, but no cars shown confused loyal audience and read as tone-deaf",https://www.campaignlive.com/article/year-review-biggest-brand-fails-2024/1900879,False
33,عساف للعطور (Assaf Perfumes),Saudi Arabia,Saudi Arabia,Instagram/Facebook ad (Meta Ad Library),2026,احتفالية عساف بشهر الخير 🤍🌙 كولكشن بخور 🪵✨ أجمل عطرين بخورية وتوزيعات لأحبابك 🎁!! #عساف #رمضان,Normal,Culture-aware (Religion),Intentional,"Intentional Ramadan-themed gifting campaign (incense/perfume), tasteful and well within cultural norms",https://www.facebook.com/ads/library/?id=927893969796735,True
34,مصحف المدينة (Quran app),Saudi Arabia,Saudi Arabia,App install ad (Meta Ad Library),2025,تطبيق مصحف المدينة فرصتك الذهبية لتكون صديقًا للقرآن! 🌙✨ وضع ليلي مريح للعين لقراءة القرآن ليلاً بدون إجهاد,Normal,Culture-aware (Religion),Intentional,"Intentional, respectful framing of a religious-practice app aimed at Muslim users",https://www.facebook.com/ads/library/?id=1119037623570192,True
36,Nykaa,India,India,Instagram/Facebook ad (Meta Ad Library),2025,Celebrate Diwali in style with Nykaa's Diwali Dhamaka Sale! ✨ Enjoy up to 50% OFF on all your favourite products! Shop Now.,Normal,Culture-aware (Festival),Intentional,"Intentional festive-sale tie-in to Diwali, standard commercial framing",https://www.facebook.com/ads/library/?id=808871428559359,True
37,EVOQ Realtech,India,India,Instagram/Facebook ad (Meta Ad Library),2025,"This Diwali, let your dreams shine brighter than ever. Hrithik Roshan wishes you a joyous and prosperous Diwali, from his heart and all of us at EVOQ. #evoq #evoqrealtech #houseofevoq #hrithikroshan",Normal,Culture-aware (Festival),Intentional,"Intentional celebrity-fronted festival greeting tied to a real-estate brand, respectful tone",https://www.facebook.com/ads/library/?id=1273043967912721,True
38,Raymond (Gautam Singhania),India,India,Instagram/Facebook ad (Meta Ad Library),2025,"✨ Wishing you all a bright and joyous Diwali! ✨ May your homes be filled with light, your hearts with happiness, and your lives with endless prosperity. 🥫💫 Let's celebrate the triumph of light over darkness and spread positivity all around! 🌟 #Raymond #RaymondLifestyle #HappyDiwali",Normal,Culture-aware (Festival/Religion),Intentional,"Intentional festival greeting referencing Diwali's light-over-darkness symbolism, respectful",https://www.facebook.com/ads/library/?id=1356241449310074,True
39,Pushp Masale,India,India,Instagram/Facebook ad (Meta Ad Library),2024,"जस्बातों की कच्ची मिट्टी में , बोएं बीज जमीर का ।✨🪔 आपको एवं आपके परिवार को दीपावली की हार्दिक शुभकामनाएं।🎆💥 #diwali #dipawali",Normal,Culture-aware (Festival),Intentional,"Intentional poetic Diwali greeting in Hindi from a food/spice brand, respectful and well received",https://www.facebook.com/ads/library/?id=1703798457136861,True
41,Nike,USA,USA,Instagram/Facebook ad (Meta Ad Library),2025,Get the gear that goes hard on and off the field.,Expected,,Intentional,"Intentional generic product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1016451784037642,True
42,Nike,USA,USA,Instagram/Facebook ad (Meta Ad Library),2026,Ball’s in your court. Get the gear that never misses.,Expected,,Intentional,"Intentional generic product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=978648824961094,True
43,Coca-Cola,Middle East / Arabic-speaking audience,Global,Instagram/Facebook ad (Meta Ad Library),2026,"اشرب كوكاكولا، امسح، حط الكود، وفالك الفوز! 🥤 (Drink Coca-Cola, scan, enter the code, and win!) — FIFA World Cup promo",Expected,,Intentional,"Intentional generic prize-promo mechanic, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1472157580846747,True
44,Fanta,UK,UK,Instagram/Facebook ad (Meta Ad Library),2026,Make your meal more delicious. WANTA FANTA?,Expected,,Intentional,"Intentional generic product wordplay slogan, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1651920912725048,True
45,McDonald's,UK,UK,Instagram/Facebook ad (Meta Ad Library),2026,Get your hands on this great deal. It's as simple as McDonald's.,Expected,,Intentional,"Intentional generic promotional deal messaging, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1329720105270189,True
46,Absolut Vodka Sprite,UK,UK,Instagram/Facebook ad (Meta Ad Library),2026,"From crisp lemon-lime to fruity Pineapple and Watermelon, discover Absolut Vodka mixed with Sprite flavours.",Expected,,Intentional,"Intentional generic product-range promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1029502202973730,True
47,adidas,Germany,Germany,Instagram/Facebook ad (Meta Ad Library),2026,Gönn deinem Style mit legendären adidas Pieces ein Upgrade.,Expected,,Intentional,"Intentional generic product-upgrade promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1980298559516240,True
48,Corona USA,Mexico / US Hispanic audience,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,"In the city that never stops, take a moment from the hustle. For 21+.",Expected,,Intentional,"Intentional generic lifestyle/beer promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=4190689321067739,True
49,Corona USA,Mexico / US Hispanic audience,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,Turn any hangout into the ultimate vibe 🌊☀️🍊 Try Corona Sunbrew. For 21+.,Expected,,Intentional,"Intentional generic lifestyle/beer promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1993986447870328,True
50,Uniqlo,Japan,Japan,Instagram/Facebook ad (Meta Ad Library),2026,日本発、世界T。この一枚にユニクロのテクノロジーをつめこんで。着心地も、使い心地も、サイコーの気持ちよさを、あなたに。,Expected,,Intentional,"Intentional generic product-technology promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=995923503162112,True
51,Amazon India,India,India,Instagram/Facebook ad (Meta Ad Library),2026,"Shop our selection of home products, décor, and more at Amazon!",Expected,,Intentional,"Intentional generic e-commerce catalog promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=3210879262417218,True
52,SHEIN HOME,Mexico,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,Las mejores ofertas del día. Explora nuestras selecciones ahora. Obtén más sorpresas.,Expected,,Intentional,"Intentional generic sale promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1525019799263636,True
53,Dabur India,India,India,Print/social ad (Fem Bleach),2021,Ad for Fem Creme Bleach set during Karwa Chauth shows two women celebrating the festival together and applying bleach on each other,Taboo,Religion,Intentional,"Intentional inclusive/creative framing, backlash claimed it mocked a Hindu couples’ festival; pulled and apologized",https://www.socialsamosa.com/socialthrowback/biggest-controversies-in-indian-marketing-advertising-2023-2055089,False
54,FabIndia,India,India,Diwali campaign (print/social),2021,"Diwali festive collection campaign named ""Jashn-e-Riwaaz"" (using an Urdu phrase)",Taboo,Religion,Intentional,"Intentional artistic naming, backlash claimed an Urdu/Islamic-associated phrase was inappropriate for a Hindu festival; campaign withdrawn",https://www.socialsamosa.com/socialthrowback/biggest-controversies-in-indian-marketing-advertising-2023-2055089,False
55,Kent RO Systems,India,India,TV/social ad,2020,Ad for an atta/bread-maker appliance suggests buying the device instead of asking house-help to knead dough,Taboo,Intent/Context (Tone),Unintentional,"Unintentional, read as classist during COVID job losses among domestic workers; withdrawn and apologized",https://www.socialsamosa.com/socialthrowback/biggest-controversies-in-indian-marketing-advertising-2023-2055089,False
56,Nike Japan,Japan,Japan,Video ad (SNS),2020,"""The Future Isn’t Waiting"" film shows mixed-race and other Japanese schoolgirls facing discrimination, overcoming it through sport",Taboo,Race/Ethnicity,Intentional,Intentional awareness message about discrimination sparked backlash/boycott calls from viewers uncomfortable discussing the topic openly,https://www.aljazeera.com/news/2020/12/2/nike-japan-causes-backlash-due-to-diversity-ad-campaign-on-racism,False
57,Nissin,Japan,Japan,Animated ad,2019,"Animated ad depicting tennis star Naomi Osaka with pale skin, brown hair, and Caucasian features",Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, accused of whitewashing a biracial athlete; apologized",https://japantoday.com/category/national/ana-apologizes-over-racial-stereotyping-in-new-tv-commercial,False
58,LOFT,Japan,Japan,Valentine's Day ad,2019,Valentine's Day department-store campaign carried messaging widely read as anti-women,Taboo,Gender,Unintentional,"Unintentional, pulled after backlash on social media",https://globalvoices.org/2019/02/14/japanese-ads-aimed-at-women-criticized-for-misogyny-again/,False
59,ANA (All Nippon Airways),Japan,Japan,TV commercial,2014,TV commercial used exaggerated Western features (e.g. large prosthetic nose) to represent foreign passengers,Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, accused of racist stereotyping; apologized",https://japantoday.com/category/national/ana-apologizes-over-racial-stereotyping-in-new-tv-commercial,False
60,Kirin,Japan,Japan,Social media campaign (Go Go Tea),2016,"Campaign used illustrated caricatures of women who drink the tea, e.g. ""The Conceited Girl Who Thinks She’s a Model""",Taboo,Gender,Intentional,Intentional humor framing read as sexist stereotyping; tweets deleted and apology issued,https://international.thenewslens.com/article/113784,False
61,Hornbach,Germany,Germany,TV commercial,2019,Ad shows an Asian woman appearing aroused after opening a bag of dirty laundry worn by Caucasian men,Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, condemned as sexist and racist by East Asian women; petition demanded apology",https://www.scmp.com/news/asia/east-asia/article/3003684/south-korean-women-outraged-sexist-racist-advertisement-german,False
62,KFC Germany,Germany,Germany,Push notification / promo,2018,"""It’s memorial day for Kristallnacht! Treat yourself with more tender cheese on your crispy chicken. Now at KFCheese!""",Taboo,Religion/History,Unintentional,Unintentional automated promo collided with Holocaust memorial day; company apologized as unacceptable,https://www.forbes.com/sites/edwardsegal/2024/10/26/how-and-why-the-ads-of-4-companies-created-controversies/,False
63,Elle Germany,Germany,Germany,Magazine cover/feature,2017,"Issue used the cover line ""Black is Back"" atop a feature of models of color, alongside a captioning mistake",Taboo,Race/Ethnicity,Unintentional,"Unintentional, read as treating Black people as a passing fashion trend; apologized",https://fstoppers.com/news/elle-germany-releases-apology-after-racially-insensitive-issue-which-saw-company-424133,False
64,British Airways,Saudi Arabia,Saudi Arabia,Aircraft livery design,1997,New tail-fin design program included patterns that in some markets resembled Arabic script,Taboo,Religion,Unintentional,"Unintentional, interpreted by some in Saudi Arabia as resembling the word Allah on the underside of a plane; design changed",https://www.media.co.uk/blogs/blog/25-saudi-cultural-advertising-dos-and-donts,False
65,Marks & Spencer,Saudi Arabia,Saudi Arabia,Retail product (bathroom tiles),2010,"Bathroom tile pattern was perceived by shoppers to resemble the Arabic script for ""Allah""",Taboo,Religion,Unintentional,"Unintentional supplier design, led to protests/boycotts; tiles recalled and apology issued",https://www.media.co.uk/blogs/blog/25-saudi-cultural-advertising-dos-and-donts,False
66,Nivea,Saudi Arabia,Saudi Arabia,Print/social ad (Middle East region),2012,"""Invisible for Black & White"" deodorant ad shows a woman in a white robe captioned ""white is purity""",Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, read as a racially loaded slogan across the Middle East region; pulled and apologized",https://www.media.co.uk/blogs/blog/25-saudi-cultural-advertising-dos-and-donts,False
67,Adidas x Willy Chavarria,Mexico,Mexico,Product design (Oaxaca Slip-On),2025,Oaxaca Slip-On sneaker design drew directly on traditional Indigenous Mexican huarache craftsmanship from Yalálag,Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, criticized as cultural appropriation without consulting or crediting the Indigenous community; public apology issued",https://www.euronews.com/culture/2025/08/11/willy-chavarria-and-adidas-apologise-for-shoe-design-criticised-as-cultural-appropriation,False
68,Tecate,Mexico,Mexico,Billboard ad,2013,"""Buffet. It’s easy to be a man. Tecate Beer, for you."" — billboard shows three slim, light-skinned women at a bar",Taboo,Gender,Intentional,Intentional objectifying humor drew a complaint from Mexico’s National Human Rights Commission; taken down,https://theconversation.com/how-mexican-advertising-featuring-rich-white-people-perpetuates-racism-and-classism-106655,False
69,Indio (beer),Mexico,Mexico,Social media campaign,2018,"#OrgullosamenteIndio (""Proudly Indian"") campaign had people wear t-shirts printed with a racial slur, one word crossed out",Taboo,Race/Ethnicity,Intentional,"Intentional anti-racism awareness message backfired, mocked online as tone-deaf and racist itself",https://theconversation.com/how-mexican-advertising-featuring-rich-white-people-perpetuates-racism-and-classism-106655,False
70,Dior,China,China,Print/social ad,2021,"Campaign image shows an Asian model pulling the corner of her eye to promote a makeup collection, alongside another image with dark-toned ""spooky"" eyelid styling in traditional Chinese dress",Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand, accused of echoing anti-Asian mockery gestures and negative stereotypes of Chinese women",https://www.lexology.com/library/detail.aspx?g=5f11460c-b611-4e9c-adee-4b816db97845,False
71,Three Squirrels,China,China,Print/social ad,2019,"Ad campaign features a female model styled with very thin, slanted eyes",Taboo,Race/Ethnicity,Unintentional,"Unintentional per brand (ad ran in 2019, backlash surfaced in 2021), accused of reinforcing Western stereotypical caricatures of Chinese faces",https://www.theworldofchinese.com/2023/05/just-ad-misogyny-why-is-sexist-advertising-still-rampant-in-china/,False
72,PurCotton,China,China,Video ad,2021,"Ad shows a woman being followed at night; she uses a PurCotton makeup remover to reveal her ""true"" older, darker-skinned appearance, and the pursuer recoils in disgust",Taboo,Gender,Intentional,"Intentional narrative twist for shock/comedy value, condemned as sexist and appearance-shaming by state media and netizens",https://www.theworldofchinese.com/2023/05/just-ad-misogyny-why-is-sexist-advertising-still-rampant-in-china/,False
73,Gucci,China,China,Lunar New Year campaign,2021,"Lunar New Year capsule collection used rabbit-felt products and was shot with live bunnies (and, the following year, live tigers for the Year of the Tiger)",Taboo,Culture-aware (Festival),Intentional,"Intentional festive Zodiac-themed campaign backfired on animal-welfare grounds, criticized as tone-deaf given the brand's fur-free pledge",https://www.campaignasia.com/article/a-chinese-new-year-campaign-controversy-is-gucci-fur-real/483179,False
74,MUJI (無印良品),Japan,Japan,Instagram/Facebook ad (Meta Ad Library),2026,【無印良品のTシャツ】心地よさも、手ごろさも。着心地が良く手に取りやすい、夏の定番 Tシャツ。,Expected,,Intentional,"Intentional generic seasonal apparel promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1307390821549789,True
75,MUJI (無印良品),Japan,Japan,Instagram/Facebook ad (Meta Ad Library),2026,"季節の""いいね""をもっと""良い値""で。「良いね祭」開偨1月30日金【7月13日月まで。",Expected,,Intentional,"Intentional generic seasonal-sale promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=2147872559475037,True
76,MUJI (無印良品),Japan,Japan,Instagram/Facebook ad (Meta Ad Library),2026,【紳士 天竹編みクルーネック半袖Ｔシャツ】990円 結局、毎日この1枚。,Expected,,Intentional,"Intentional generic product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1783862283026982,True
77,PARCO,Japan,Japan,Instagram/Facebook ad (Meta Ad Library),2026,Discover top fashion brands from Japan and around the world. Trend shopping starts at Shinsaibashi PARCO.,Expected,,Intentional,"Intentional generic retail-mall promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1531026648480885,True
78,Lidl in Deutschland,Germany,Germany,Instagram/Facebook ad (Meta Ad Library),2026,Jetzt große Produktauswahl entdecken und bequem nach Hause liefern lassen 😍,Expected,,Intentional,"Intentional generic e-commerce catalog promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1440250560868349,True
79,Lidl in Deutschland,Germany,Germany,Instagram/Facebook ad (Meta Ad Library),2026,Noch mehr Auswahl 🤩 Shoppe jetzt im Lidl-Onlineshop und entdecke unsere aktuellen Angebote!,Expected,,Intentional,"Intentional generic e-commerce catalog promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=659126967266398,True
80,Lidl in Deutschland,Germany,Germany,Instagram/Facebook ad (Meta Ad Library),2026,Tolle Styles für jeden Anlass 🧥👖👗👙 Jetzt entdecken im Lidl Onlineshop! 🛒,Expected,,Intentional,"Intentional generic fashion promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=2315947175503660,True
81,Lidl in Deutschland,Germany,Germany,Instagram/Facebook ad (Meta Ad Library),2026,Entdecke unsere frischen Obst und Gemüseangebote 🥬✨ in deiner Lidl Filiale 🛒,Expected,,Intentional,"Intentional generic grocery promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1514483450157927,True
82,المراعي - Almarai,Saudi Arabia,Saudi Arabia,Instagram/Facebook ad (Meta Ad Library),2026,"Trust isn't built overnight. It's earned through continuous improvement, dedication, and quality standards.",Expected,,Intentional,"Intentional generic brand-trust/quality messaging, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1539162697806733,True
83,المراعي - Almarai,Saudi Arabia,Saudi Arabia,Instagram/Facebook ad (Meta Ad Library),2026,"دجاج اليوم طازج، مغذي، صحي (Today’s chicken: fresh, nutritious, healthy)",Expected,,Intentional,"Intentional generic product-quality promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1540372677633139,True
84,المراعي - Almarai,Saudi Arabia,Saudi Arabia,Instagram/Facebook ad (Meta Ad Library),2026,ALYOUM: Fresh & Nutritious,Expected,,Intentional,"Intentional generic product-quality promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1755207248833999,True
85,HungerStation - هنقرستيشن,Saudi Arabia,Saudi Arabia,Instagram/Facebook ad (Meta Ad Library),2026,First time ordering? Enjoy a year of free delivery + SR 150 in vouchers. Download now!,Expected,,Intentional,"Intentional generic app-install promo offer, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=975772895279297,True
86,Bimbo México,Mexico,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,"Cuando tienes un antojo, lo ves en todas partes. ¡Deja de imaginar y comienza a disfrutar de tu Bran Frut!",Expected,,Intentional,"Intentional generic snack-product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=2083810515827183,True
87,Bimbo México,Mexico,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,"El toque oriental le va bien a todas tus comidas, ¿ya probaste Panko Bimbo?",Expected,,Intentional,"Intentional generic product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1008354758346441,True
88,Bimbo México,Mexico,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,Nunca sale el antojo. Se acaba la hamburguesa y entra el hot dog. Porque los mejores partidos merecen más de una jugada maestra.,Expected,,Intentional,"Intentional generic seasonal snack promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=987425590578158,True
89,OXXO,Mexico,Mexico,Instagram/Facebook ad (Meta Ad Library),2026,"Hay días que piden café grande, paso firme y algo dulce al lado ☕",Expected,,Intentional,"Intentional generic convenience-store product promotion, no cultural or sensitive-topic content",https://www.facebook.com/ads/library/?id=1743583427082051,True
